plot_ID,species_richness_plot,tsq_x_shrub_plot,tsq_t_shrub_plot,tsq_x_tree_plot,tsq_t_tree_plot,reproductive_height_plot,bulk_density_plot,leaf_size_plot,hairs_plot,width_cm_plot,length_cm_plot,height_cm_plot,growth_form_plot,n_growth_forms_plot,life_form_plot
SU_S02_P02,14,130,5,60,250,43.25,low,Macro,Absent,38.6785714285714,58.5357142857143,49.3214285714286,Straight forb,6,Forb
DA_S04_P05,13,20,20,660,165,70.25,low,Thick linear,Absent,18.6538461538462,24.5384615384615,33.3846153846154,Straight forb,7,Forb
AN_S03_P01,21,180,202,277,400,36.0588235294118,low,Thin linear,Absent,8.92857142857143,12.3333333333333,12.5952380952381,Round forb,8,Graminoid
SY_S02_P01,19,70,135,1230,1640,56.7916666666667,low,Macro,Absent,19.5263157894737,25.6842105263158,27.4473684210526,Straight forb,7,Forb
AN_S03_P05,13,205,70,110,300,27.3888888888889,low,Macro,Absent,10.1538461538462,17.2307692307692,19.1153846153846,Straight forb,5,Forb
DA_S01_P02,23,84,88,534,136,34.7647058823529,low,Macro,Absent,13.6086956521739,21.1521739130435,20.5434782608696,Straight forb,7,Forb
DA_S01_P04,13,40,76,237,85,22.1,low,Micro,Absent,12.1923076923077,18.3461538461538,30.6153846153846,Straight forb,4,Forb
SY_S05_P03,16,590,60,940,660,55,low,Thin linear,Absent,8.40625,13.78125,23.3125,Round forb,6,Forb
AN_S03_P03,19,105,95,230,250,51.7,low,Macro,Absent,14.1052631578947,19.2631578947368,16.8947368421053,Straight forb,9,Forb
AN_S05_P02,23,40,53,300,92,31.1176470588235,low,Thin linear,Absent,12.6739130434783,17.8913043478261,22.1086956521739,Sparse upward graminoid,8,Forb
AN_S05_P05,19,10,35,320,200,36.8666666666667,low,Thin linear,Absent,8.26315789473684,12.9473684210526,18.8684210526316,Sparse upward graminoid,5,Graminoid
SY_S01_P01,16,36,208,1205,1510,55.6,medium,Thin linear,Absent,14.40625,20.28125,24,Straight forb,8,Graminoid
SY_S01_P04,15,60,60,170,50,57.3333333333333,low,Macro,Absent,18.7666666666667,24.2333333333333,23.0666666666667,Straight forb,8,Graminoid
SY_S01_P05,7,80,40,190,30,72.3333333333333,medium,Thin linear,Absent,24.2142857142857,33.8571428571429,28.2857142857143,Sparse upward graminoid,6,Graminoid
MA_S02_P03,12,130,310,910,300,70,low,Macro,Leaves and Stems,11.8333333333333,23.5833333333333,24.5,Round forb,6,Forb
